V_ttx	t_ttx
-0.0384	3.5964000000000004e-08
-0.0384	3.59644e-08
-0.0384	3.59648e-08
-0.0384	3.59652e-08
-0.0384	3.5965600000000004e-08
-0.0384	3.5966e-08
-0.0384	3.59664e-08
-0.0384	3.59668e-08
-0.0384	3.59672e-08
-0.0384	3.59676e-08
-0.0384	3.5968e-08
-0.043199999999999995	3.59684e-08
-0.043199999999999995	3.59688e-08
-0.043199999999999995	3.59692e-08
-0.043199999999999995	3.59696e-08
-0.043199999999999995	3.5970000000000004e-08
-0.043199999999999995	3.59704e-08
-0.047999999999999994	3.59708e-08
-0.047999999999999994	3.59712e-08
-0.047999999999999994	3.5971600000000004e-08
-0.047999999999999994	3.5972e-08
-0.05279999999999999	3.59724e-08
-0.05279999999999999	3.59728e-08
-0.05279999999999999	3.59732e-08
-0.05279999999999999	3.59736e-08
-0.05279999999999999	3.5974e-08
-0.0576	3.5974400000000003e-08
-0.0576	3.59748e-08
-0.0576	3.59752e-08
-0.0576	3.59756e-08
-0.0576	3.5976000000000004e-08
-0.0624	3.59764e-08
-0.0624	3.59768e-08
-0.0624	3.59772e-08
-0.0624	3.59776e-08
-0.0624	3.5978e-08
-0.0624	3.59784e-08
-0.0624	3.59788e-08
-0.0624	3.59792e-08
-0.0624	3.59796e-08
-0.0624	3.598e-08
-0.0624	3.5980400000000004e-08
-0.0624	3.59808e-08
-0.0624	3.59812e-08
-0.0624	3.59816e-08
-0.0624	3.5982000000000004e-08
-0.0624	3.59824e-08
-0.0624	3.59828e-08
-0.0624	3.59832e-08
-0.0624	3.59836e-08
-0.0624	3.5984e-08
-0.0576	3.59844e-08
-0.0576	3.5984800000000003e-08
-0.0576	3.59852e-08
-0.0576	3.59856e-08
-0.0576	3.5986e-08
-0.05279999999999999	3.5986400000000004e-08
-0.05279999999999999	3.59868e-08
-0.05279999999999999	3.59872e-08
-0.05279999999999999	3.59876e-08
-0.047999999999999994	3.5988000000000004e-08
-0.047999999999999994	3.59884e-08
-0.047999999999999994	3.59888e-08
-0.043199999999999995	3.59892e-08
-0.043199999999999995	3.59896e-08
-0.043199999999999995	3.599e-08
-0.0384	3.59904e-08
-0.0384	3.5990800000000004e-08
-0.0384	3.59912e-08
-0.0384	3.59916e-08
-0.0336	3.5992e-08
-0.0336	3.5992400000000004e-08
-0.0336	3.59928e-08
-0.0336	3.59932e-08
-0.0288	3.59936e-08
-0.0288	3.5994e-08
-0.0288	3.59944e-08
-0.0288	3.59948e-08
-0.0288	3.59952e-08
-0.0288	3.59956e-08
-0.023999999999999997	3.5996e-08
-0.023999999999999997	3.59964e-08
-0.023999999999999997	3.5996800000000004e-08
-0.023999999999999997	3.59972e-08
-0.023999999999999997	3.59976e-08
-0.023999999999999997	3.5998e-08
-0.023999999999999997	3.5998400000000004e-08
-0.023999999999999997	3.59988e-08
-0.023999999999999997	3.59992e-08
-0.023999999999999997	3.59996e-08
-0.023999999999999997	3.6e-08
-0.0192	3.60004e-08
-0.023999999999999997	3.60008e-08
-0.023999999999999997	3.6001200000000003e-08
-0.023999999999999997	3.60016e-08
-0.023999999999999997	3.6002e-08
-0.023999999999999997	3.60024e-08
-0.023999999999999997	3.6002800000000004e-08
-0.023999999999999997	3.60032e-08
-0.023999999999999997	3.60036e-08
-0.023999999999999997	3.6004e-08
-0.023999999999999997	3.60044e-08
-0.023999999999999997	3.60048e-08
-0.023999999999999997	3.60052e-08
-0.023999999999999997	3.60056e-08
-0.023999999999999997	3.6006e-08
-0.0288	3.60064e-08
-0.0288	3.60068e-08
-0.0288	3.6007200000000004e-08
-0.0288	3.60076e-08
-0.0288	3.6008e-08
-0.0288	3.60084e-08
-0.0288	3.6008800000000004e-08
-0.0288	3.60092e-08
-0.0288	3.60096e-08
-0.0288	3.601e-08
-0.0288	3.60104e-08
-0.0336	3.60108e-08
-0.0336	3.60112e-08
-0.0336	3.6011600000000003e-08
-0.0336	3.6012e-08
-0.0336	3.60124e-08
-0.0336	3.60128e-08
-0.0336	3.6013200000000004e-08
-0.0336	3.60136e-08
-0.0336	3.6014e-08
-0.0336	3.60144e-08
-0.0336	3.6014800000000004e-08
-0.0336	3.60152e-08
-0.0336	3.60156e-08
-0.0336	3.6016e-08
-0.0336	3.60164e-08
-0.0336	3.60168e-08
-0.0336	3.60172e-08
-0.0336	3.6017600000000004e-08
-0.0336	3.6018e-08
-0.0336	3.60184e-08
-0.0336	3.60188e-08
-0.0384	3.6019200000000004e-08
-0.0384	3.60196e-08
-0.0384	3.602e-08
-0.0336	3.60204e-08
-0.0384	3.60208e-08
-0.0384	3.60212e-08
-0.0384	3.60216e-08
-0.0384	3.6022e-08
-0.0384	3.60224e-08
-0.0384	3.60228e-08
-0.0384	3.60232e-08
-0.0384	3.6023600000000004e-08
-0.0384	3.6024e-08
-0.0384	3.60244e-08
-0.0384	3.60248e-08
-0.0384	3.6025200000000004e-08
-0.0384	3.60256e-08
-0.0384	3.6026e-08
-0.0384	3.60264e-08
-0.0384	3.60268e-08
-0.0384	3.60272e-08
-0.0384	3.60276e-08
-0.0384	3.6028000000000003e-08
-0.0384	3.60284e-08
-0.0384	3.60288e-08
-0.0384	3.60292e-08
-0.0384	3.6029600000000004e-08
-0.0384	3.603e-08
-0.0384	3.60304e-08
-0.043199999999999995	3.60308e-08
-0.043199999999999995	3.6031200000000004e-08
-0.043199999999999995	3.60316e-08
-0.043199999999999995	3.6032e-08
-0.043199999999999995	3.60324e-08
-0.043199999999999995	3.60328e-08
-0.043199999999999995	3.60332e-08
-0.043199999999999995	3.60336e-08
-0.043199999999999995	3.6034000000000004e-08
-0.047999999999999994	3.60344e-08
-0.047999999999999994	3.60348e-08
-0.047999999999999994	3.60352e-08
-0.047999999999999994	3.6035600000000004e-08
-0.047999999999999994	3.6036e-08
-0.047999999999999994	3.60364e-08
-0.047999999999999994	3.60368e-08
-0.047999999999999994	3.60372e-08
-0.047999999999999994	3.60376e-08
-0.047999999999999994	3.6038e-08
-0.047999999999999994	3.60384e-08
-0.047999999999999994	3.60388e-08
-0.047999999999999994	3.60392e-08
-0.047999999999999994	3.60396e-08
-0.047999999999999994	3.6040000000000004e-08
-0.047999999999999994	3.60404e-08
-0.05279999999999999	3.60408e-08
-0.05279999999999999	3.60412e-08
-0.05279999999999999	3.6041600000000004e-08
-0.047999999999999994	3.6042e-08
-0.047999999999999994	3.60424e-08
-0.047999999999999994	3.60428e-08
-0.047999999999999994	3.60432e-08
-0.047999999999999994	3.60436e-08
-0.047999999999999994	3.6044e-08
-0.047999999999999994	3.6044400000000003e-08
-0.047999999999999994	3.60448e-08
-0.047999999999999994	3.60452e-08
-0.047999999999999994	3.60456e-08
-0.047999999999999994	3.6046000000000004e-08
-0.047999999999999994	3.60464e-08
-0.047999999999999994	3.60468e-08
-0.047999999999999994	3.60472e-08
-0.047999999999999994	3.60476e-08
-0.047999999999999994	3.6048e-08
-0.047999999999999994	3.60484e-08
-0.047999999999999994	3.60488e-08
-0.047999999999999994	3.60492e-08
-0.047999999999999994	3.60496e-08
-0.047999999999999994	3.605e-08
-0.043199999999999995	3.6050400000000004e-08
-0.043199999999999995	3.60508e-08
-0.043199999999999995	3.60512e-08
-0.043199999999999995	3.60516e-08
-0.043199999999999995	3.6052000000000004e-08
-0.043199999999999995	3.60524e-08
-0.043199999999999995	3.60528e-08
-0.043199999999999995	3.60532e-08
-0.043199999999999995	3.60536e-08
-0.043199999999999995	3.6054e-08
-0.043199999999999995	3.60544e-08
-0.043199999999999995	3.6054800000000003e-08
-0.043199999999999995	3.60552e-08
-0.047999999999999994	3.60556e-08
-0.047999999999999994	3.6056e-08
-0.047999999999999994	3.6056400000000004e-08
-0.047999999999999994	3.60568e-08
-0.047999999999999994	3.60572e-08
-0.047999999999999994	3.60576e-08
-0.047999999999999994	3.6058000000000004e-08
-0.047999999999999994	3.60584e-08
-0.047999999999999994	3.60588e-08
-0.047999999999999994	3.60592e-08
-0.047999999999999994	3.60596e-08
-0.047999999999999994	3.606e-08
-0.047999999999999994	3.60604e-08
-0.05279999999999999	3.6060800000000004e-08
-0.05279999999999999	3.60612e-08
-0.05279999999999999	3.60616e-08
-0.05279999999999999	3.6062e-08
-0.05279999999999999	3.6062400000000004e-08
-0.05279999999999999	3.60628e-08
-0.05279999999999999	3.60632e-08
-0.05279999999999999	3.60636e-08
-0.05279999999999999	3.6064e-08
-0.05279999999999999	3.60644e-08
-0.0576	3.60648e-08
-0.0576	3.60652e-08
-0.0576	3.60656e-08
-0.0576	3.6066e-08
-0.0576	3.60664e-08
-0.0576	3.6066800000000004e-08
-0.0576	3.60672e-08
-0.0576	3.60676e-08
-0.0576	3.6068e-08
-0.0576	3.6068400000000004e-08
-0.0576	3.60688e-08
-0.0576	3.60692e-08
-0.0576	3.60696e-08
-0.0576	3.607e-08
-0.0576	3.60704e-08
-0.0624	3.60708e-08
-0.0624	3.6071200000000003e-08
-0.0624	3.60716e-08
-0.0624	3.6072e-08
-0.0624	3.60724e-08
-0.0624	3.6072800000000004e-08
-0.0624	3.60732e-08
-0.0624	3.60736e-08
-0.0624	3.6074e-08
-0.0624	3.6074400000000004e-08
-0.0624	3.60748e-08
-0.0624	3.60752e-08
-0.0624	3.60756e-08
-0.0624	3.6076e-08
-0.0624	3.60764e-08
-0.0624	3.60768e-08
-0.0624	3.6077200000000004e-08
-0.0624	3.60776e-08
-0.0624	3.6078e-08
-0.0624	3.60784e-08
-0.0624	3.6078800000000004e-08
-0.0624	3.60792e-08
-0.0624	3.60796e-08
-0.0624	3.608e-08
-0.0576	3.60804e-08
-0.0576	3.60808e-08
-0.0576	3.60812e-08
-0.0576	3.60816e-08
-0.0624	3.6082e-08
-0.0624	3.60824e-08
-0.0624	3.60828e-08
-0.0624	3.6083200000000004e-08
-0.0624	3.60836e-08
-0.0624	3.6084e-08
-0.0624	3.60844e-08
-0.0624	3.6084800000000004e-08
-0.0624	3.60852e-08
-0.0624	3.60856e-08
-0.0624	3.6086e-08
-0.0624	3.60864e-08
-0.0624	3.60868e-08
-0.0624	3.60872e-08
-0.0624	3.6087600000000003e-08
-0.0624	3.6088e-08
-0.0624	3.60884e-08
-0.0624	3.60888e-08
-0.0624	3.6089200000000004e-08
-0.0624	3.60896e-08
-0.0624	3.609e-08
-0.0624	3.60904e-08
-0.0672	3.60908e-08
-0.0672	3.60912e-08
-0.0672	3.60916e-08
-0.0672	3.6092e-08
-0.0672	3.60924e-08
-0.0672	3.60928e-08
-0.0672	3.60932e-08
-0.0672	3.6093600000000004e-08
-0.0672	3.6094e-08
-0.0672	3.60944e-08
-0.0672	3.60948e-08
-0.0672	3.6095200000000004e-08
-0.0672	3.60956e-08
-0.0672	3.6096e-08
-0.0672	3.60964e-08
-0.0672	3.60968e-08
-0.0672	3.60972e-08
-0.0672	3.60976e-08
-0.0672	3.6098000000000003e-08
-0.0672	3.60984e-08
-0.0672	3.60988e-08
-0.0672	3.60992e-08
-0.0672	3.6099600000000004e-08
-0.0672	3.61e-08
-0.0624	3.61004e-08
-0.0624	3.61008e-08
-0.0624	3.6101200000000004e-08
-0.0624	3.61016e-08
-0.0624	3.6102e-08
-0.0624	3.61024e-08
-0.0624	3.61028e-08
-0.0624	3.61032e-08
-0.0576	3.61036e-08
-0.0576	3.6104000000000004e-08
-0.0576	3.61044e-08
-0.0576	3.61048e-08
-0.0576	3.61052e-08
